N_wppm,region,cooling,classC_index,classA_index,waste_class,C14_Ci_m3,Nb94_Ci_m3,Ni63_Ci_m3,Mn53_Ci_m3,Zr93_Ci_m3,top_classC
100,BLK_mid,1000yr,0.1587769799915725,3.0117710894378926,Class C,1.2652850165866147,0.028281515756811156,0.001954533183639373,1.3844667612221474e-10,9.845823182584732e-05,Nb94:0.141;C14:0.016;Tc99:0.001
100,BLK_back,shutdown,0.08834472505646064,1.8634225825939545,Class C,0.6656980959748269,0.015831858241539765,0.812502453347316,9.47994646720298e-12,3.9482385370815024e-05,Nb94:0.079;C14:0.008;Tc99:0.001;Ni63:0.000
100,BLK_back,1d,0.08834608022617425,1.8634315481217125,Class C,0.6656978743398013,0.015831949295130352,0.8124872172099586,9.479946596072636e-12,3.9482387079381486e-05,Nb94:0.079;C14:0.008;Tc99:0.001;Ni63:0.000
100,BLK_back,1wk,0.0883485429947054,1.863428660485629,Class C,0.665696544531192,0.015831940414886198,0.8123958063152363,9.479946566898958e-12,3.9482387211663665e-05,Nb94:0.079;C14:0.008;Tc99:0.001;Ni63:0.000
100,BLK_back,1mo,0.08834897391529589,1.863327521521512,Class C,0.6656914469561339,0.015831906373996375,0.8120454931489756,9.479946455066564e-12,3.9482386085332154e-05,Nb94:0.079;C14:0.008;Tc99:0.001;Ni63:0.000
100,BLK_back,1yr,0.08834483695608854,1.8617540219046897,Class C,0.6656171486898469,0.015831410199334685,0.8069564126015719,9.479944824987801e-12,3.94823696674874e-05,Nb94:0.079;C14:0.008;Tc99:0.001;Ni63:0.000
100,BLK_back,10yr,0.0883044978362365,1.8468015589246736,Class C,0.6648890659161952,0.015826545847326078,0.7587149509711896,9.479928841478573e-12,3.9482208684820996e-05,Nb94:0.079;C14:0.008;Tc99:0.001;Ni63:0.000
100,BLK_back,100yr,0.08792110703001216,1.7355214429739663,Class C,0.6576518973345203,0.015777984455536694,0.4096040979424179,9.479769007868407e-12,3.948059889425701e-05,Nb94:0.079;C14:0.008;Tc99:0.001
100,BLK_back,1000yr,0.0846205734951731,1.5096093151587622,Class C,0.5894743888964541,0.015300490747203459,0.0008614316028249476,9.47817081997474e-12,3.9464504598115916e-05,Nb94:0.077;C14:0.007;Tc99:0.001
100,DIV,shutdown,0.10201976324617527,4.6658586127326735,Class C,2.1382500212664874,0.014380386260024716,4.33921018035397,2.00123940662312e-09,0.0003335111902427844,Nb94:0.072;C14:0.027;Tc99:0.003;Ni63:0.001
100,DIV,1d,0.10202336791913895,4.665870294572152,Class C,2.138249309365551,0.01438045669044905,4.339128811564359,2.0012395742739198e-09,0.0003335112242397864,Nb94:0.072;C14:0.027;Tc99:0.003;Ni63:0.001
100,DIV,1wk,0.10203238079984354,4.665814242671851,Class C,2.1382450379648903,0.01438044862435661,4.338640627087633,2.001239568115287e-09,0.0003335112301001707,Nb94:0.072;C14:0.027;Tc99:0.003;Ni63:0.001
100,DIV,1mo,0.10203434009149936,4.665273630421732,Class C,2.1382286643414057,0.014380417704377464,4.336769762019735,2.0012395445071992e-09,0.0003335112205862103,Nb94:0.072;C14:0.027;Tc99:0.003;Ni63:0.001
100,DIV,1yr,0.10202521836414345,4.657044509211181,Class C,2.1379900152143776,0.014379967019619671,4.309591271626449,2.001239200393645e-09,0.00033351108190321846,Nb94:0.072;C14:0.027;Tc99:0.003;Ni63:0.001
